_id	x	y	senses
time/NN/Encow_sample_26679/33	-22.6332	23.9669	time_1
time/NN/Encow_sample_30375/13	-20.17	26.1842	time_3
time/NN/Encow_sample_21234/18	11.285	17.2949	time_2
time/NN/Encow_sample_13505/11	-5.2895	15.8561	time_2
time/NN/Encow_sample_17982/41	-11.487	-12.3271	time_2
time/NN/Encow_sample_23418/38	2.6594	23.1971	time_3
time/NNS/Encow_sample_24510/27	-0.619	-21.6441	time_3
time/NN/Encow_sample_8921/51	-27.7672	-21.0968	time_1
time/NN/Encow_sample_14346/56	16.7448	-4.9799	time_2
time/NN/Encow_sample_20313/31	12.0704	-31.763	time_8
time/NN/Encow_sample_12316/56	10.1334	21.908	time_8
time/NN/Encow_sample_17568/17	1.0528	10.6292	time_2
time/NN/Encow_sample_31384/97	-20.0645	23.4199	time_3
time/NN/Encow_sample_31909/101	-14.1039	-28.1169	time_1
time/NN/Encow_sample_30840/91	-16.4861	6.9799	time_2
time/NN/Encow_sample_6008/54	22.6832	8.023	time_1
time/NN/Encow_sample_5803/97	12.2162	11.964	time_1
time/NN/Encow_sample_14570/128	21.1385	-25.6593	time_8
time/NN/Encow_sample_5042/47	-16.3795	9.1776	time_2
time/NN/Encow_sample_15827/56	-22.141	25.5728	time_5
time/NN/Encow_sample_23726/36	-28.144	16.1763	time_2
time/NN/Encow_sample_32177/43	-20.1029	7.9031	time_2
time/NN/Encow_sample_7503/56	15.3062	9.6963	time_3
time/NNS/Encow_sample_18116/15	0.4227	-22.6441	time_3
time/NN/Encow_sample_30527/45	-19.7949	21.2544	time_1
time/NN/Encow_sample_2091/31	-30.2028	-14.6806	time_3
time/NN/Encow_sample_23390/43	14.9443	19.0907	time_2
time/NN/Encow_sample_21861/28	26.4612	-22.5985	time_1
time/NN/Encow_sample_24872/32	-22.4718	23.1955	time_5
time/NN/Encow_sample_14986/58	11.5074	17.018	time_2
time/NN/Encow_sample_14977/46	4.0026	18.6921	time_2
time/NNS/Encow_sample_21581/61	15.4713	-11.8443	time_5
time/NN/Encow_sample_20302/9	-7.6037	22.7783	time_2
time/NN/Encow_sample_7661/67	7.5056	-8.8838	time_2
time/NN/Encow_sample_22594/26	-22.8855	-10.5387	time_5
time/NN/Encow_sample_4184/15	2.3339	11.2589	time_1
time/NN/Encow_sample_26617/75	25.7561	18.8427	time_2
time/NN/Encow_sample_1621/21	21.8177	-4.5649	time_5
time/NNS/Encow_sample_21374/67	-1.4499	-21.3893	time_3
time/NN/Encow_sample_10145/50	25.8612	-22.2791	time_1
time/NN/Encow_sample_19697/12	-28.1776	-14.5667	time_3
time/NN/Encow_sample_22124/13	-31.4098	3.4756	time_2
time/NN/Encow_sample_29848/34	0.0	0.0	time_2
time/NN/Encow_sample_9301/29	-11.7181	22.6272	time_4
time/NNS/Encow_sample_32179/54	12.4378	-15.6526	time_3
time/NN/Encow_sample_24448/9	-35.9315	-15.4018	time_3
time/NN/Encow_sample_17659/14	-17.1364	9.2318	time_1
time/NN/Encow_sample_28291/14	-19.042	23.0005	time_8
time/NN/Encow_sample_2958/92	-29.4723	-16.9952	time_3
time/NN/Encow_sample_11268/28	21.614	15.4363	time_1
time/NN/Encow_sample_10070/41	-2.0314	-16.5342	time_1
time/NN/Encow_sample_26462/48	-13.8579	7.0772	time_1
time/NNS/Encow_sample_23243/10	20.9017	10.1213	time_1
